hour,signal,cosinorx_2,cosinory_15_2
71,21.144320003360022,71,21.524738244450294
72,29.9156517399929,72,29.86726686316349
73,44.46452442061878,73,39.589952355007036
74,53.05329314360147,74,50.03020977120952
75,66.70756177601876,75,60.476552822197625
76,73.25179265350998,76,70.21708049244491
77,81.65671570162657,77,78.58799191820694
78,85.88642037759898,78,85.01882331940317
79,84.95247249967466,79,89.07132416349359
80,95.63535125955798,80,90.46932321502766
81,85.3045522289276,81,89.11754914894604
82,82.10358390587852,82,85.10812313393993
83,85.72317288680883,83,78.71428092704213
84,64.82740066572677,84,70.37175230832892
85,60.5564644382007,85,60.64906681648539
86,50.92490511123701,86,50.208809400282895
87,39.99720190021298,87,39.7624663492948
88,30.068244203927588,88,30.021938679047516
89,28.840066213638934,89,21.651027253285584
90,17.35743816056154,90,15.220195852089262
91,15.587837839003898,91,11.167695007998823
92,7.063577813604985,92,9.769695956464751
93,8.384934063765673,93,11.121470022546383
94,12.161650697336073,94,15.130896037552485
95,21.283658316267637,95,21.524738244450283
96,23.664689404253522,96,29.86726686316348
97,34.56671980981359,97,39.58995235500703
98,47.76629069463083,98,50.0302097712095
99,53.358590069956854,99,60.47655282219761
100,67.91928603679158,100,70.2170804924449
101,75.97281071961302,101,78.58799191820682
102,84.83032159562116,102,85.01882331940315
103,87.48250184419646,103,89.07132416349359
104,92.29712547580525,104,90.46932321502767
105,87.32170852339478,105,89.11754914894604
106,91.99367415727157,106,85.10812313393993
107,82.28867758469943,107,78.71428092704213
108,71.3423309924616,108,70.37175230832905
109,59.22696610244096,109,60.64906681648539
110,51.24167967967001,110,50.20880940028292
111,40.177482868508584,111,39.76246634929482
112,23.15392949431578,112,30.021938679047526
113,33.1858338538578,113,21.65102725328559
114,17.039868948054,114,15.220195852089262
115,4.314868783043884,115,11.167695007998866
116,9.238214569596607,116,9.769695956464755
117,7.752429606642483,117,11.121470022546383
118,12.976482845703572,118,15.130896037552489
119,12.801909927415338,119,21.524738244450283
120,27.81225806715814,120,29.867266863163348
121,36.652771325818904,121,39.589952355007014
122,57.597386252230066,122,50.0302097712095
123,56.333835042728126,123,60.476552822197604
124,68.89530785436732,124,70.2170804924449
125,90.90098040227805,125,78.58799191820692
126,86.5600581936014,126,85.01882331940308
127,97.23433338760675,127,89.07132416349356
128,95.48728503858052,128,90.46932321502766
129,78.74235464164236,129,89.11754914894603
130,82.23551414603502,130,85.10812313393987
131,81.56098099698362,131,78.71428092704224
132,69.12878344934494,132,70.37175230832906
133,60.669663663298444,133,60.6490668164854
134,46.596454547577665,134,50.20880940028292
135,35.48070044038836,135,39.76246634929468
136,28.95911988653926,136,30.021938679047658
137,21.473849346695957,137,21.651027253285598
138,10.465290386749507,138,15.220195852089269
139,20.142284227538475,139,11.16769500799883
140,8.124264214792584,140,9.769695956464748
141,16.487558997276587,141,11.12147002254634
142,15.146775205206879,142,15.130896037552482
143,21.814585373368615,143,21.524738244450273
144,30.468035637964622,144,29.867266863163465
145,44.62004907078142,145,39.58995235500687
146,43.184463236763335,146,50.03020977120934
147,61.00067380879649,147,60.47655282219759
148,71.59028611740047,148,70.21708049244488
149,83.1894019541179,149,78.58799191820691
150,91.074007851956,150,85.01882331940307
151,95.52961865385974,151,89.07132416349356
152,83.1259982404466,152,90.46932321502766
153,93.12500182343727,153,89.11754914894604
154,91.02428497240531,154,85.10812313393987
155,79.29068337230434,155,78.71428092704225
156,67.51891220157972,156,70.37175230832908
157,67.58849490797522,157,60.64906681648541
158,44.67685694804577,158,50.20880940028293
159,36.19333720499145,159,39.76246634929497
160,21.405455893844994,160,30.02193867904767
161,19.52177806490412,161,21.651027253285605
162,16.31099677441628,162,15.220195852089276
163,15.097535135975512,163,11.167695007998837
164,9.42701826785261,164,9.769695956464751
165,13.389764380242212,165,11.121470022546337
166,12.582919823825392,166,15.130896037552482
167,19.856638732773458,167,21.524738244450262
