hour,activity,time of day
242,15.89200215022667,2
243,9.538729760224463,3
244,32.956896199039,4
245,57.72951678527791,5
246,77.91511284196314,6
247,64.11061506236965,7
248,25.227289799987357,8
249,11.58183318602535,9
250,6.16593171900664,10
251,11.70756132370323,11
252,8.96787018492024,12
253,6.001736334132254,13
254,6.323413954465063,14
255,16.721062090089916,15
256,31.83966958462149,16
257,65.0184566703391,17
258,80.52184525237644,18
259,58.18724166987816,19
260,26.617182392120977,20
261,3.128259205171428,21
262,7.853743695700415,22
263,2.078010206981115,23
264,0,0
265,10.997867957370376,1
266,0,2
267,17.434055243552265,3
268,40.173352578430304,4
269,66.11845348073284,5
270,72.97382473897956,6
271,62.87892697338693,7
272,28.414519260392726,8
273,6.973701319036528,9
274,7.448532147987737,10
275,5.637575469541327,11
276,2.1013326993427834,12
277,0.20354228289596588,13
278,7.937581421711309,14
279,9.19887988383827,15
280,33.12204999613097,16
281,75.13826899212273,17
282,78.42020018298084,18
283,66.20823743602,19
284,29.005932738203597,20
285,14.774394836625188,21
286,0,22
287,0,23
288,2.453670147449079,0
289,6.983401640807838,1
290,6.530469437168208,2
291,15.19545491216382,3
292,28.152658030148466,4
293,64.52524513420707,5
294,67.94906399680782,6
295,54.738637581260335,7
296,39.47559916286931,8
297,7.070430149936573,9
298,7.129026592582491,10
299,12.467843409413042,11
300,4.797748299018423,12
301,2.0925125932400643,13
302,15.753391647591389,14
303,8.673575018588867,15
304,28.778878424811634,16
305,58.47963317939038,17
306,77.11294296734602,18
307,52.71993045967212,19
308,28.27354235048426,20
309,18.07981851781052,21
310,5.4232108987564125,22
311,0.9684349275654949,23
312,11.200706981934559,0
313,6.073524619342501,1
314,0.21552632495672164,2
315,14.8823512157176,3
316,31.699095924613538,4
317,61.414179254050154,5
318,73.94125435142112,6
319,58.01434780149404,7
320,27.26798389619518,8
321,14.10920472593709,9
322,0.989722925860713,10
323,0.47866809081151906,11
324,3.4775970950011548,12
325,2.7999389666432144,13
326,11.776346520334032,14
327,10.914923977237201,15
328,25.193283062616985,16
329,63.314842814919096,17
330,63.53388313388119,18
331,48.4791191056578,19
332,32.80523501337889,20
333,14.421842622066011,21
334,1.5568078434602022,22
335,4.681703639741219,23
