Ward A dose,Ward A activity,Ward A fit x,Ward A fit y,Ward B dose,Ward B activity,Ward B fit x,Ward B fit y,Ward C dose,Ward C activity,Ward C fit x,Ward C fit y,dose (pooled),activity (pooled),pooled fit x,pooled fit y
2.564483347567239,10.78910400836834,,,4.899459498616576,9.396979677495043,,,7.172968623931377,6.869646651317223,,,2.564483347567239,10.78910400836834,,
0.8547573489507105,9.422102021085353,,,6.4358443944871055,10.37570050217902,,,7.921211363271813,7.851488902169009,,,0.8547573489507105,9.422102021085353,,
1.0631604087962871,8.111668311513892,,,4.712164476312455,7.33611123090232,,,8.03237002255853,8.754711293139916,,,1.0631604087962871,8.111668311513892,,
2.550309992871841,10.230140904440052,,,5.201770970343005,8.925225735855147,,,8.601298101701852,9.084197438238663,,,2.550309992871841,10.230140904440052,,
,,,,,,,,,,,,4.855849207743793,7.8491766835661725,,
,,,,,,,,,,,,3.964466745570264,6.903056457576056,,
,,,,,,,,,,,,4.634479958279894,9.86469948640929,,
,,,,,,,,,,,,4.7220614221456545,9.54808790305189,,
,,,,,,,,,,,,3.595729501637659,8.159756915928982,,
,,,,,,,,,,,,5.448899597024219,8.877042754047963,,
,,,,,,,,,,,,5.115035070408834,8.928179096119703,,
,,,,,,,,,,,,4.412899079258144,8.676034514052981,,
,,,,,,,,,,,,4.467878211655507,6.885178822841022,,
,,,,,,,,,,,,4.480707237645391,7.021151775470564,,
,,,,,,,,,,,,5.066547660072599,8.907705258179945,,
,,,,,,,,,,,,4.52615060020942,7.621338752094731,,
,,,,,,,,,,,,4.416500908172609,8.773085452617229,,
,,,,,,,,,,,,5.220059847112903,9.398934361830824,,
,,,,,,,,,,,,5.533254028696714,9.997587200832413,,
,,,,,,,,,,,,4.398775591170275,8.237254965166906,,
,,,,,,,,,,,,4.229683622812157,8.051446527318667,,
,,,,,,,,,,,,5.536867930251876,9.57038222835129,,
,,,,,,,,,,,,5.415873582310682,9.311762266536732,,
,,,,,,,,,,,,4.554584505480943,8.827680021940223,,
,,,,,,,,,,,,4.39590661809073,7.439559342322092,,
,,,,,,,,,,,,4.899459498616576,9.396979677495043,,
,,,,,,,,,,,,6.4358443944871055,10.37570050217902,,
,,,,,,,,,,,,4.712164476312455,7.33611123090232,,
,,,,,,,,,,,,5.201770970343005,8.925225735855147,,
,,,,,,,,,,,,8.134878417181017,8.294485789538449,,
,,,,,,,,,,,,8.148195897307705,9.283505386538394,,
,,,,,,,,,,,,7.417012250828425,6.809500287634497,,
,,,,,,,,,,,,8.538117908024724,8.557642864874152,,
,,,,,,,,,,,,7.898658381407408,10.0039314316853,,
,,,,,,,,,,,,7.9006572660590075,7.788424480957828,,
,,,,,,,,,,,,8.532565916934951,8.527577265168137,,
,,,,,,,,,,,,8.37178149850421,8.826618960223566,,
,,,,,,,,,,,,9.336029613627328,9.626230616459942,,
,,,,,,,,,,,,8.383782407142549,8.17120495549085,,
,,,,,,,,,,,,7.743043967078107,7.441847251401131,,
,,,,,,,,,,,,8.537107426063665,8.003595786530525,,
,,,,,,,,,,,,6.894649577938323,6.168979832789332,,
,,,,,,,,,,,,8.551266219389708,8.87266138149444,,
,,,,,,,,,,,,7.373729223477267,7.981650372771842,,
,,,,,,,,,,,,8.14292234089887,8.753610647928422,,
,,,,,,,,,,,,9.177901224420255,8.703948261474789,,
,,,,,,,,,,,,7.548772284365188,7.9338367839657655,,
,,,,,,,,,,,,7.379240385699747,6.157683333217234,,
,,,,,,,,,,,,8.300014880160726,8.155054846365596,,
,,,,,,,,,,,,7.784730470539935,7.4367292110936845,,
,,,,,,,,,,,,7.172968623931377,6.869646651317223,,
,,,,,,,,,,,,7.921211363271813,7.851488902169009,,
,,,,,,,,,,,,8.03237002255853,8.754711293139916,,
,,,,,,,,,,,,8.601298101701852,9.084197438238663,,
